index,adc
0,2050
1,2049
2,2056
3,2070
4,2071
5,2074
6,2059
7,2069
8,2067
9,2055
10,2054
11,2062
12,2066
13,2053
14,2049
15,2049
16,2050
17,2035
18,2032
19,2028
20,2037
21,2031
22,2021
23,2028
24,2023
25,2016
26,2030
27,2032
28,2024
29,2027
30,2049
31,2034
32,2057
33,2046
34,2063
35,2071
36,2053
37,2069
38,2069
39,2073
40,2065
41,2061
42,2062
43,2070
44,2067
45,2046
46,2047
47,2056
48,2036
49,2050
50,2045
51,2046
52,2024
53,2025
54,2027
55,2025
56,2029
57,2028
58,2021
59,2033
60,2044
61,2032
62,2051
63,2037
64,2044
65,2044
66,2056
67,2056
68,2064
69,2072
70,2070
71,2071
72,2067
73,2061
74,2063
75,2058
76,2063
77,2065
78,2058
79,2044
80,2034
81,2045
82,2023
83,2027
84,2028
85,2034
86,2038
87,2032
88,2031
89,2042
90,2022
91,2044
92,2051
93,2034
94,2058
95,2046
96,2054
97,2062
98,2054
99,2058
100,2074
101,2059
102,2069
103,2061
104,2073
105,2057
106,2068
107,2057
108,2044
109,2059
110,2056
111,2045
112,2042
113,2043
114,2022
115,2019
116,2032
117,2035
118,2040
119,2020
120,2039
121,2020
122,2044
123,2033
124,2043
125,2042
126,2058
127,2060
128,2047
129,2062
130,2064
131,2058
132,2073
133,2072
134,2067
135,2073
136,2081
137,2067
138,2058
139,2052
140,2065
141,2045
142,2050
143,2060
144,2038
145,2032
146,2042
147,2040
148,2043
149,2035
150,2050
151,2042
152,2056
153,2047
154,2060
155,2051
156,2076
157,2063
158,2085
159,2098
160,2093
161,2087
162,2096
163,2108
164,2114
165,2117
166,2127
167,2128
168,2109
169,2130
170,2130
171,2132
172,2126
173,2119
174,2119
175,2125
176,2124
177,2124
178,2139
179,2138
180,2126
181,2146
182,2152
183,2150
184,2173
185,2165
186,2185
187,2192
188,2189
189,2201
190,2207
191,2228
192,2247
193,2236
194,2257
195,2264
196,2276
197,2280
198,2273
199,2284
200,2288
201,2291
202,2299
203,2305
204,2302
205,2304
206,2302
207,2310
208,2302
209,2295
210,2293
211,2303
212,2320
213,2307
214,2311
215,2318
216,2324
217,2333
218,2341
219,2331
220,2335
221,2353
222,2362
223,2370
224,2362
225,2368
226,2377
227,2356
228,2373
229,2362
230,2348
231,2357
232,2361
233,2347
234,2329
235,2337
